page,block,company,text,section,dates_mentioned,words
11,CAPE THREE POINTS BLOCK 4,ENI GHANA EXPLORATION & PRODUCTION LIMITED," Following the completion of the appraisal programme for the Akoma and Eban Discoveries, Eni and its Partners submitted an appraisal report and declared the Akoma and Eban Discoveries commercial in July 2025. The Contractor is expected to submit a Plan of Development and Operations (PDO) to the Minister for Energy and Green Transition by mid- 2026 for approval to develop and produce the Akoma and Eban Discoveries. In addition, Eni, following the completion of further geological and geophysical studies for the Aprokuma Discovery is planning to drill a well, Aprokuma-2A to appraise the discovery and determine its commerciality. The Aprokuma-2A is planned for drilling in September, 2026.",Exploration,"July 2025; mid- 2026; September, 2026",107
11,EXPANDED SHALLOW WATER TANO,BASE ENERGY," Base Energy is engaged in discussions with prospective investors to farm-out a portion of its participating interest in the block in exchange for funding the acquire new 3D seismic data and drill an obligatory exploratory well. Base Energy has signed an MOU with a reputable IOC to farm-out greater percentage of its interest to the Company who will become an Operator. Once the transaction is approved, Base will commence the acquisition of the new 3D seismic data Q4 2026.",Exploration,Q4 2026,79
11,CENTRAL TANO BLOCK,AMNI INTERNATIONAL PETROLEUM DEVELOPMENT," Amni has executed a drilling contract with Nobel Corporation for the use of the Nobel Venturer Drillship to drill the obligatory well, Kusia-1X. The Contractor has acquired nearly all the Long-Lead items is scheduled to drill its exploratory well Q1 2027. .",Exploration,Q1 2027,42
11,DEEPWATER CAPE THREE POINTS WEST,ECO ATLANTIC OIL AND GAS," Eco Atlantic continues well planning and procurement of drilling related goods and services. Eco Atlantic is expected to submit a signed rig contract to the Minister by the end of September, 2026 to demonstrate its commitment to drill the Dawadwa-1 well. in 2026. Eco Atlantic is engaging international partners for a possible farm-in into the block",Exploration,"end of September, 2026; 2026",56
11,EAST CAPE THREE POINTS,MEDEA DEVELOPMENT LIMITED," The farm-in negotiation amongst Medea Development, Cola Natural Resources and a potential investor is ongoing. Upon completion of negotiations and the execution of a farm-in agreement, Medea is obliged to drill at least one exploratory well by 2027.",Exploration,by 2027,38
11,DEEPWATER CAPE THREE POINTS,PLANET ONE OIL AND ENERGY," Planet One has completed geological and geophysical studies over the block and has identified a drillable prospect. Planet One has negotiated a rig contract with Noble Corporation and is engaging the Commission on procurement strategy for its Long Lead Items and other goods. Materials and services for its planned exploratory well(s). Well planning and commencement of drilling related procurement are ongoing. The exploratory well, Nyagyidie-1X is planned for drilling in December, 2026. Ghana Upstream Petroleum Business Outlook Report 2026 8",Exploration,"December, 2026; 2026",80
12,OFFSHORE SOUTHWEST TANO,OPCO," OPCO has commenced well planning commencement and procurement of drilling related goods and services are ongoing. The exploratory well, Edinam-1X is planned for drilling in December, 2026. Following the Commission’s approval, OPCO has commenced a process to lease a drillship for the planned exploratory well.",Exploration,"December, 2026",45
12,VOLTAIAN BASIN,GNPC EXPLORCO," GNPC Explorco has undertaken an airborne survey over the GH_VB_01 block. Planning is underway to drill two exploratory wells in the block in Q3, 2026.",Exploration,2026,25
12,WEST CAPE THREE POINTS BLOCK 2,SPRINGFIELD E&P LIMITED," Following the completion of the appraisal programme of the Afina Cenomanian Oil Discovery in 2026, Springfield declared the discovery commercial. Additionally, Springfield notified the Commission that after it had conducted further technical studies, it seeks to appraise the Afina Turonian Gas Discovery. Springfield is expected to: Submit a plan of development and operation for the Afina Cenomanian Oil Discovery to the Minister for approval by June 2026. Engage the Commission on the Appraisal Programme for the Afina Turonian Gas Discovery. GHANA WESTERN BASIN BLOCK 01 (TRISTAR OIL AND GAS). Tristar executed a Petroleum Agreement in late 2025. Tristar will undertake geological and geophysical studies in the block in preparation for a new 3D seismic data acquisition project.",Exploration,2026; by June 2026; 2025,117
12,SOUTH DEEPWATER TANO,SDWT," Following expression of interest by Shell Overseas Holdings Limited’s (Shell) and publication of Direct Negotiation notice in the media as required by the law, the , Hon. Minister for Energy and Green Transition directed the Government Negotiation Team to negotiate a Petroleum Agreement with Shell. The negotiation is currently ongoing with key terms concluded. Once the negotiation is completed, the draft Petroleum Agreement will be sent to Cabinet for approval and Parliament for ratification. 9 Ghana Upstream Petroleum Business Outlook Report 2026",Exploration,2026,82
